service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0#5","1","1","1","1","1","0","0","20241215","20250331"
"T0#50","1","1","1","1","1","0","0","20250519","20251213"
"T0#51","1","1","1","1","1","0","0","20241215","20251213"
"T0#52","1","1","1","1","1","0","0","20250204","20250617"
"T0#53","1","1","1","1","1","0","0","20241221","20251213"
"T0#54","1","1","1","1","1","0","0","20250108","20250217"
"T0#55","1","1","1","1","1","0","0","20241215","20251213"
"T0#56","1","1","1","1","1","0","0","20250217","20250413"
"T0#57","1","1","1","1","1","0","0","20250414","20250714"
"T0#58","1","1","1","1","1","0","0","20250107","20251213"
"T0#59","1","1","1","1","1","0","0","20250409","20251213"
"T0#6","0","1","1","0","0","0","0","20250401","20250402"
"T0#60","1","1","1","1","1","0","0","20250113","20250225"
"T0#61","0","0","0","1","0","0","0","20250227","20250227"
"T0#62","1","1","1","1","1","0","0","20250107","20251213"
"T0#63","1","1","1","1","1","0","0","20250224","20250405"
"T0#64","1","1","1","1","1","0","0","20250505","20250620"
"T0#7","1","1","1","1","1","0","0","20250403","20251213"
"T0#8","1","1","1","1","1","0","0","20250519","20250914"
"T0#9","1","1","1","1","1","0","0","20250517","20250914"
"T0+bb01","0","0","0","0","1","0","0","20241215","20250405"
"T0+bb02","1","1","1","1","0","0","0","20241215","20250405"
"T0+g7","1","1","1","1","0","0","0","20250406","20250518"
"T0+t5","0","0","0","0","1","0","0","20250412","20250421"
"T0+T5","1","1","1","1","0","0","0","20250412","20250421"
"T0+u1000","0","0","1","0","1","0","0","20250406","20250518"
"T0+v7100","0","0","0","0","1","0","0","20250519","20251213"
"T0+w7100","0","0","0","0","1","0","0","20250519","20251213"
"T0+x7100","1","1","1","1","0","0","0","20250519","20251213"
"T0+y7100","1","1","1","1","0","0","0","20250519","20251213"
"T2","0","0","0","0","0","1","0","20241215","20251213"
"T2#1","0","1","0","0","0","1","0","20241215","20250109"
"T2#10","0","0","0","0","0","1","0","20250217","20250413"
"T2#100","0","0","0","0","0","1","0","20250206","20251213"
"T2#101","0","1","0","0","0","1","0","20241215","20241226"
"T2#102","0","1","0","0","0","1","0","20241227","20250421"
"T2#103","0","0","0","0","0","1","0","20250404","20250406"
"T2#104","0","0","0","0","0","1","0","20250422","20251213"
"T2#105","0","0","0","0","0","1","0","20241215","20251213"
"T2#106","0","0","0","0","0","1","0","20250318","20250706"
"T2#107","0","1","0","0","0","1","0","20241215","20250421"
"T2#108","0","0","0","0","0","1","0","20250422","20251213"
"T2#109","0","0","0","0","0","1","0","20241215","20251213"
"T2#11","0","0","0","0","0","1","0","20250414","20251213"
"T2#110","0","1","0","0","0","1","0","20241215","20250106"
"T2#111","0","0","0","0","0","1","0","20250107","20251213"
"T2#112","0","0","0","0","0","1","0","20250204","20250617"
"T2#113","0","0","0","0","0","1","0","20241215","20241222"
"T2#114","0","0","0","0","0","1","0","20241223","20251213"
"T2#115","0","0","0","0","0","1","0","20241223","20251213"
"T2#116","0","0","0","0","0","1","0","20241215","20251213"
"T2#117","0","0","0","0","0","1","0","20250224","20250405"
"T2#118","0","1","0","0","0","1","0","20241215","20250223"
"T2#119","0","1","0","0","0","1","0","20241215","20250408"
"T2#12","0","0","0","0","0","1","0","20241215","20241221"
"T2#120","0","0","0","0","0","1","0","20241215","20251213"
"T2#121","0","0","0","0","0","1","0","20250407","20250504"
"T2#122","0","0","0","0","0","1","0","20250505","20250620"
"T2#123","0","0","0","0","0","1","0","20241215","20251213"
"T2#124","0","0","0","0","0","1","0","20250318","20250418"
"T2#125","0","1","0","0","0","1","0","20241227","20250205"
"T2#126","0","0","0","0","0","1","0","20250206","20251213"
"T2#127","0","0","0","0","0","1","0","20250318","20250418"
"T2#128","0","1","0","0","0","1","0","20241215","20250421"
"T2#129","0","1","0","0","0","0","0","20241223","20241226"
"T2#13","0","0","0","0","0","1","0","20241222","20251213"
"T2#130","0","1","0","0","0","1","0","20241227","20250421"
"T2#14","0","0","0","0","0","1","0","20250509","20250510"
"T2#15","0","0","0","0","0","1","0","20241222","20251213"
"T2#16","0","0","0","0","0","1","0","20241215","20251213"
"T2#17","0","1","0","0","0","1","0","20241215","20250404"
"T2#18","0","0","0","0","0","1","0","20250405","20250408"
"T2#19","0","0","0","0","0","1","0","20250409","20251213"
"T2#2","0","0","0","0","0","1","0","20250110","20250410"
"T2#20","0","0","0","0","0","1","0","20241215","20251213"
"T2#21","0","0","0","0","0","1","0","20250318","20250706"
"T2#22","0","1","0","0","0","1","0","20241215","20250331"
"T2#23","0","0","0","0","0","1","0","20250403","20251213"
"T2#24","0","0","0","0","0","1","0","20250519","20250914"
"T2#25","0","0","0","0","0","1","0","20250517","20250914"
"T2#26","0","1","0","0","0","1","0","20241215","20250202"
"T2#27","0","0","0","0","0","1","0","20250203","20251213"
"T2#28","0","1","0","0","0","1","0","20241215","20250323"
"T2#29","0","0","0","0","0","1","0","20250324","20250512"
"T2#3","0","0","0","0","0","1","0","20250411","20250504"
"T2#30","0","0","0","0","0","1","0","20250513","20250619"
"T2#31","0","0","0","0","0","1","0","20250620","20251213"
"T2#32","0","0","0","0","0","1","0","20250217","20250727"
"T2#33","0","0","0","0","0","1","0","20250401","20251213"
"T2#34","0","1","0","0","0","0","0","20241224","20241224"
"T2#35","0","0","0","0","0","1","0","20250115","20251213"
"T2#36","0","0","0","0","0","1","0","20241215","20251213"
"T2#37","0","1","0","0","0","1","0","20241215","20250421"
"T2#38","0","0","0","0","0","1","0","20250422","20250518"
"T2#39","0","0","0","0","0","1","0","20250915","20251213"
"T2#4","0","0","0","0","0","1","0","20250505","20250707"
"T2#40","0","0","0","0","0","1","0","20241215","20251213"
"T2#41","0","0","0","0","0","1","0","20250330","20251025"
"T2#42","0","1","0","0","0","1","0","20241215","20241230"
"T2#43","0","0","0","0","0","1","0","20250101","20251213"
"T2#44","0","1","0","0","0","0","0","20241231","20241231"
"T2#45","0","0","0","0","0","1","0","20250101","20250427"
"T2#46","0","0","0","0","0","1","0","20250428","20251213"
"T2#47","0","0","0","0","0","1","0","20250407","20250620"
"T2#48","0","0","0","0","0","1","0","20241215","20251213"
"T2#49","0","0","0","0","0","1","0","20241215","20250601"
"T2#5","0","0","0","0","0","1","0","20250708","20251213"
"T2#50","0","0","0","0","0","1","0","20250602","20251213"
"T2#51","0","0","0","0","0","1","0","20241215","20251213"
"T2#52","0","0","0","0","0","1","0","20250426","20250426"
"T2#53","0","0","0","0","0","1","0","20241215","20251213"
"T2#54","0","0","0","0","0","1","0","20241215","20251213"
"T2#55","0","1","0","0","0","1","0","20241215","20250106"
"T2#56","0","0","0","0","0","1","0","20250107","20251213"
"T2#57","0","1","0","0","0","1","0","20241215","20250401"
