"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color"
"22-31-j25-3",4,"31","Schottenring - Stammersdorf",0,"C00808","FFFFFF"
"22-31-j25-31",4,"31","Schottenring - Stammersdorf",0,"C00808","FFFFFF"
"22-31-j25-4",4,"31","Schottenring - Stammersdorf Baustellenfahrplan",0,"C00808","FFFFFF"
"22-31-j25-5",4,"31","Schottenring - Stammersdorf",0,"C00808","FFFFFF"
"22-33-j25-1",4,"33","(Josefstädter Straße) Augasse - Friedrich-Engels-Platz",0,"C00808","FFFFFF"
"22-33-j25-2",4,"33","Josefstädter Straße - Friedrich-Engels-Platz",0,"C00808","FFFFFF"
"22-33-j25-24",4,"33","(Josefstädter Straße) Augasse - Friedrich-Engels-Platz",0,"C00808","FFFFFF"
"22-33-j25-3",4,"33","(Josefstädter Straße) Augasse - Friedrich-Engels-Platz",0,"C00808","FFFFFF"
"22-33-j25-31",4,"33","(Josefstädter Straße) Augasse - Friedrich-Engels-Platz",0,"C00808","FFFFFF"
"22-37-j25-1",4,"37","Schottentor - Hohe Warte",0,"C00808","FFFFFF"
"22-37-j25-2",4,"37","Schottentor - Hohe Warte",0,"C00808","FFFFFF"
"22-37-j25-24",4,"37","Schottentor - Hohe Warte",0,"C00808","FFFFFF"
"22-37-j25-31",4,"37","Schottentor - Hohe Warte",0,"C00808","FFFFFF"
"22-38-j25-1",4,"38","Schottentor - Grinzing",0,"C00808","FFFFFF"
"22-38-j25-2",4,"38","Schottentor - Grinzing",0,"C00808","FFFFFF"
"22-38-j25-24",4,"38","Schottentor - Grinzing",0,"C00808","FFFFFF"
"22-38-j25-31",4,"38","Schottentor - Grinzing",0,"C00808","FFFFFF"
"22-40-j25-1",4,"40","Schottentor - Gersthof, Herbeckstraße",0,"C00808","FFFFFF"
"22-40-j25-2",4,"40","Schottentor - Gersthof, Herbeckstraße",0,"C00808","FFFFFF"
"22-40-j25-24",4,"40","Schottentor - Gersthof, Herbeckstraße",0,"C00808","FFFFFF"
"22-40-j25-31",4,"40","Schottentor - Gersthof, Herbeckstraße",0,"C00808","FFFFFF"
"22-41-j25-1",4,"41","Schottentor - Pötzleinsdorf",0,"C00808","FFFFFF"
"22-41-j25-2",4,"41","Schottentor - Pötzleinsdorf",0,"C00808","FFFFFF"
"22-41-j25-24",4,"41","Schottentor - Pötzleinsdorf",0,"C00808","FFFFFF"
"22-41-j25-31",4,"41","Schottentor - Pötzleinsdorf",0,"C00808","FFFFFF"
"22-42-j25-1",4,"42","Schottentor - Antonigasse",0,"C00808","FFFFFF"
"22-42-j25-2",4,"42","Schottentor - Antonigasse",0,"C00808","FFFFFF"
"22-42-j25-24",4,"42","Schottentor - Antonigasse",0,"C00808","FFFFFF"
"22-42-j25-31",4,"42","Schottentor - Antonigasse",0,"C00808","FFFFFF"
"22-43-j25-1",4,"43","Schottentor - Neuwaldegg",0,"C00808","FFFFFF"
"22-43-j25-2",4,"43","Schottentor - Neuwaldegg",0,"C00808","FFFFFF"
